There are a total of 664 total claims

 7 | -2384,-3232 
 Llama-cove | -496,1936 
 Sprucevale | -2000,-928 
 Blahajville | -3632,-7376 
 TheGoldenStrip | -7440,-4672 
 Nivalislair | -2560,4016 
 goldenport | -656,-3776 
 Seubu | -3824,5760 
 BuyMyCoral | -9904,9264 
 Blunderdale | -928,5984 
 Thassle | -624,1264 
 Norsted | -2320,-8064 
 DeadTree | -9984,-176 
 Velímas | 6320,3760 
 Vaashelet | 3584,-1760 
 Haedos | -2240,0 
 gaming4 | -5488,7440 
 LisvarTower | 4832,5392 
 Tannin | -5024,7872 
 Asliggör | -7136,5808 
 Wajdoon | 2128,-1312 
 ThorenArfirif | -1280,1584 
 Fichtenburg | 3072,4960 
 Costa_Arrakis | -3392,-3968 
 Laveria | -6928,7072 
 Kolzar | 2880,9056 
 Olympus | 368,176 
 Westcrest | 0,6512 
 Rone | 2704,-6208 
 10k | -48,9968 
 Osoopor | 1056,-928 
 Gju-Valamora | 1904,-8784 
 Veldan | -3088,-5504 
 Sparkenheim | -2960,2016 
 Testificatia | -3712,16 
 Eloniek | -1120,1760 
 The_Confederate_States | -560,1824 
 TheShire | 608,-560 
 Doyros | 3888,288 
 Meowhattan | 3152,-48 
 arvdi | -336,8944 
 Shanaar | -2800,-1472 
 Arana_Eyon | -10672,-352 
 Limon413 | -528,1456 
 Terra_Bay | -11344,-4976 
 cuicui_chan | 240,-5584 
 Catappolnia | -3456,4192 
 Hiveopolis | -2288,864 
 Deuardsburg | -288,-5264 
 SBGxW1LL | -768,9872 
 Nicka'sVillage | -3968,8336 
 tyty0817 | -4960,-7424 
 Noroxville | -4464,8896 
 Arkhan'sCamp | 3136,-9648 
 Konaco | -1152,-5488 
 centerade | -8016,400 
 Daudin'sRise | 4912,5808 
 Bolttrik | -8928,5280 
 rRaphaelooo | -1424,848 
 Kutai | 2960,3328 
 Venetia | -976,2224 
 Bogado | -3680,-2224 
 New_Australis | 2336,7232 
 Asheim | -4032,3776 
 pangea | -848,2016 
 Asuasmare | -4976,7968 
 Ravenna | 1712,-7424 
 Ball_City | -7168,8192 
 Nottylicstroll2.0 | 96,2016 
 SolusIsle | -4832,4496 
 Legaium | 5984,6256 
 Shadow'sReach | -8352,288 
 Maquider | 800,5776 
 Fort_Liberio | 4640,2448 
 Titan's-Landing | 6864,5888 
 Mart | -7424,7184 
 Eastblitz | 3856,5136 
 NonAqua | 2832,1088 
 Augstburg | 6448,-2816 
 Market77 | -10960,5280 
 Procyon_Grove | -1696,-176 
 Aureate_Banking | 2080,2112 
 Rosiyen | -10768,-8992 
 Xokris | -3792,-3888 
 Zlekia | -576,704 
 Roma | -11536,-6064 
 TheCobble... | 6992,1712 
 LobsterLand | -8256,-2208 
 Taqa_Najul | 7616,8144 
 PowerStation | -7088,864 
 Bastille | 4912,2816 
 PortRavia | 7360,-2336 
 Lockwood | -6416,4512 
 Maringrad | -2208,-7264 
 Cathiyla | -1072,4176 
 Mine | -8784,6960 
 Karmyon-Altia | 6448,-1472 
 AutonomousIsland | -496,-2720 
 Heliopolis | 0,-5536 
 dunea | 912,-3664 
 NidarosHasFallen | 7168,-5536 
 Loka | -1472,-3824 
 Phernso | 960,-6400 
 BinLadenLand | -576,-9680 
 Doravan_North | -2272,-8496 
 Cryspell | 6592,-8464 
 Chipmunks | -11136,1136 
 Nyr_Erðvåld | -9440,1376 
 Fallum | -3680,-6080 
 Coran'i | 2416,6032 
 Latzva | -11680,6672 
 Iron_Island | -9808,1408 
 GorodProstitutsii | -1296,3008 
 New_Katolis | 5520,-912 
 Apriligrad | -6720,7008 
 Boonesville | -1728,1840 
 Dragonite | -832,-384 
 Mannerheim | -7520,5008 
 VelBarágadet | 5280,3200 
 KnoxCow | 4928,4160 
 SinisterAsp | -4464,-2800 
 York | -1072,-4064 
 TivoVida | -6288,-3936 
 Slavos | 6096,-2160 
 Alerium | -384,3712 
 Jungle_Of_Peace | -800,208 
 QushCreative | -432,880 
 Pyrgoipol | -384,-6352 
 Centerpoint | -32,-80 
 Zyek_Artsur | -1056,-32 
 Myrr | -7424,4864 
 Xadena | -656,1088 
 Laz_Begaz | -2320,1040 
 PorkTatis | -3648,4112 
 s3bozz | -2272,2048 
 Xylotron | 5024,8864 
 O'Sasah_Yhok | 1792,-272 
 FhasidulTempClaim | -9648,304 
 Brodirweitheim | 7184,-5184 
 Samuume | -1408,192 
 Skitonia | -1280,4480 
 Uiatia | -2048,3312 
 Jryden | 2048,480 
 Kronstadt | 0,-4992 
 morio | -4832,-4352 
 Tarentum | 64,-4688 
 New_Holzenstadt | -8544,-640 
 WHOPHi | 7360,-8928 
 Pâques | -2928,-1776 
 Dunes | 1296,-1568 
 Mothra_Keep | -5376,928 
 StonehavenKeep2 | 6864,-1072 
 Essukdal_Dalshet | -1152,8080 
 LICHONIUM | -3744,-7824 
 daldaria | -2480,2096 
 profactory | 2208,-7392 
 Letagrovere | 3936,-8352 
 Pallas | -624,-6704 
 ccny | 3232,-592 
 GOBLINMARKET | 144,2256 
 Lycaron | -2624,-7952 
 Trrosor | 1792,-8288 
 Kattegat | -784,144 
 Solaris | -2832,7536 
 Burgerville | -10000,-4816 
 The_Tower_of_Sanctuary | -8208,-144 
 Thornhold | 560,1024 
 Arena | -8416,-2352 
 SaorsaCity | 736,7632 
 Camp_Atam_Shar | 7488,9344 
 Snorlaxx | 7888,3856 
 megacup1 | -2912,-720 
 Venetiae | -10704,-8112 
 Krasnaya | 528,-5200 
 Kaliwaníka | 6640,5904 
 Solekra | -11504,8160 
 arnic'bar | -2640,1280 
 Urnu-Pyriad | -10272,-192 
 Gyoza | -6816,-5216 
 gubemart | -9056,1040 
 Funnytown | 6224,-4400 
 Drakensgate | 4736,5808 
 Krianta | 6736,-2576 
 Rathnirswarrior | 4416,400 
 Colbeckica | -2672,-5904 
 Pondarosa | -2240,5024 
 Hythe | 3712,4800 
 Vortex | 208,-592 
 oakburg | -8384,512 
 Citlālin | -4544,4000 
 skibidiland | 1824,-1744 
 Scitadi_Mokesce | -2640,-1808 
 La_Commune | -720,2112 
 Tisphone | 3824,-9808 
 Agartha | 7680,-1296 
 Novarake | 1024,-3600 
 OrtverSich | 7552,-8240 
 Royal_Flush_Casino | -9776,5168 
 Straw_Hats | 1872,7024 
 The_Rubber_Ducky | -3184,4016 
 ɲæde | 8064,-9168 
 Al-Hamara | -1888,848 
 4_Ra | 16,-224 
 Eventide | -10032,6064 
 FortGarf | 2208,-6592 
 blackbull | -8000,6640 
 Volkhovo | 608,2256 
 TheGreatWallofVulkrum | -2720,2144 
 LunaVentre | -480,1568 
 Collumbus | 7232,3072 
 mekhfel | 7552,-9616 
 Burgapest | -3296,-6544 
 themaninglasseso | -3360,-4464 
 Asuni | 4368,2784 
 Shepherd's_Homestead | -1456,1280 
 Bomboclaat_Island | -2256,4896 
 Port_Defiance | 208,336 
 Fort_Rygrad | -1584,8384 
 TheLodge | -7232,-9872 
 Vamayruu | 4064,208 
 Razvan | -912,6064 
 Alminus | -2128,-832 
 Aelana | 5632,4736 
 juan | -2592,-7280 
 GaldzerCastle | 1552,-8864 
 Mt.Voclari | -784,-6864 
 Frosvir | 7888,-9952 
 EhldurStehd | 7024,3168 
 FortHeraklea | -1264,-5808 
 CatulumCity | -1616,2096 
 Fort_Preyisland | -8256,9664 
 SnowGoatMountain | -1568,800 
 nothing123 | 1664,-2144 
 Tsungore | 4048,-10000 
 New_Kjagdun | -912,6208 
 Nya-Erinia | 6080,8560 
 Aexeal | 976,3856 
 NoIrlNamesAllowed4 | -512,2336 
 Dortberg2 | -6064,304 
 Waterville | -10480,-9504 
 Valoria_District | -9344,-160 
 Magerol_Rasanan | 6992,-9776 
 Megroth | 7248,-8592 
 AntlantisKingdom | 7872,3408 
 Castarvum | -11552,-7120 
 prrrr | -6704,-4016 
 Bacri-Burrow | 1632,-8656 
 Joserell | 2096,-6368 
 Fortuna | -1984,880 
 Orion'sReach | -11840,4576 
 Vulderia-City | 1552,-656 
 Erlenberg | 5248,3744 
 Florosadas | -2464,-9680 
 JodTown | -1200,2944 
 Kova'sRetreat | -2800,-5344 
 Reslau | -9072,-1232 
 Rozow's_MaidCafe | -3616,9760 
 Fuchsia_Canopy | 2304,-2592 
 LaWein | -1968,5392 
 Cenorah | -3344,-2272 
 Evercrest | -7776,-9232 
 JMarket | 0,2624 
 Eostoreia | -608,6800 
 Totomando2 | 5568,8672 
 TMats | 1344,-5904 
 Al-Mons | -7840,6448 
 Ishto | -9856,-32 
 Novojemlya | -4848,-9200 
 Karhu'sLookout | -9344,384 
 Nuala | 672,9776 
 Frascati | -4112,-4096 
 Ferifez_of_Greenland | -11264,3568 
 Jalendu | -9088,-9840 
 Sararaf | -8912,5616 
 galgeria | -1008,144 
 Menëgrött | -7648,5424 
 Ashnikastel | 8080,-1504 
 Pineolwii'sRetreat | -3952,8240 
 Galdurim | -4128,-6608 
 Ik'su'ru | -304,7360 
 Ivydew | 8064,4416 
 Pikledias | 5584,3344 
 WyvernsKeep | -2256,-9520 
 Infernal_Zarax | -128,336 
 WillowTavern | -2144,-736 
 PortoBello | -8192,-6160 
 Kabedaten | -2080,2528 
 NovaMotu | 7536,-5360 
 Karnipol | 4208,3472 
 New_Velerin | -4416,-7776 
 Karaz'Dul | 688,-6448 
 Curcoma | 544,-480 
 Wintergard | 6080,6000 
 Greenland_Isle | -10896,3392 
 Hoydepunkt | 1152,-3456 
 Bribenbourg | 3552,464 
 Morgan-Ranch | -11680,-6176 
 Grevenholm | -5376,9520 
 Strategosia | -10032,512 
 xaviercoin4x | -8448,3568 
 Kahzaktuum | 5088,1552 
 marikar | 1808,-6560 
 MonsViden | 6896,-896 
 Mykożynjōv | -9104,128 
 Hafnarfjoll | -9168,656 
 TheLostIslands | -9808,9888 
 GREG | -1456,2032 
 Gorehihr | 560,-6176 
 Tōćiszo | -9504,-1744 
 SludgeIsle | -7296,4192 
 Frostholm | -3888,-7056 
 Miltipolis | 64,-4576 
 The_Nie | -400,-1408 
 Gura's_Dystrict_1 | 2400,9600 
 yannyy_ | -2352,384 
 Raven | -8576,-9536 
 Sylvanis | 3824,3488 
 RTACDC | 4304,-2240 
 Metzlchat | -1024,-144 
 Saint_Amalia | -672,1904 
 HearthWard | -10720,-1872 
 BenjaminCity | 320,9872 
 Soliaregis_Maris | -7568,-4976 
 Eldonia | 6592,-7216 
 Chyda-Ahiyu'h | 1088,-2384 
 SalvarFort | 6256,6912 
 isla | -11664,-6272 
 Emberpoint | 3168,8208 
 Iron_blood | 4528,9216 
 Hagen | -1456,-7248 
 Sneubu | -3616,4272 
 poisson-ange | -4336,1280 
 CanisLupus | -848,1664 
 Krasivagora | -4928,1568 
 farm | -2496,2192 
 Athanios | -8320,6704 
 Vlangolar | -8688,576 
 GooseBurgh | -5296,9392 
 Landexia | 256,-5120 
 Dreamspire | 1984,-7680 
 Suqibadi | -3760,-4384 
 Luyezia | 3488,3488 
 Market.55 | -4448,-704 
 Drunkenfort | 7632,3584 
 P1ck4x3 | -736,8992 
 Fire | -11488,144 
 WAMville | 1200,-5376 
 ForYouAndForMany | 5232,2592 
 Hyperborea | -2672,-5712 
 Calioptergrad | -6496,-4352 
 Wardenia | 4208,3664 
